year	country	gdp	pop	lifeExp
1800	afg	603	3280000	28.21
1805	afg	603	3280000	28.16
1810	afg	604	3280000	28.11
1815	afg	604	3280000	28.06
1820	afg	604	3280000	28.01
1825	afg	615	3362666	27.95
1830	afg	625	3447415	27.9
1835	afg	636	3534300	27.85
1840	afg	647	3623375	27.8
1845	afg	658	3714695	27.75
1850	afg	669	3808317	27.7
1855	afg	681	3904298	27.65
1860	afg	692	4002698	27.6
1865	afg	704	4103578	27.54
1870	afg	716	4207000	27.49
1875	afg	729	4360890	27.44
1880	afg	741	4520408	27.39
1885	afg	754	4685762	27.34
1890	afg	767	4857164	27.29
1895	afg	780	5034836	27.24
1900	afg	793	5219008	27.19
1905	afg	807	5409916	27.14
1910	afg	820	5607807	27.08
1915	afg	837	5840220	27.03
1920	afg	857	6125137	26.98
1925	afg	885	6423953	26.93
1930	afg	913	6737347	26.88
1935	afg	943	7066030	26.83
1940	afg	973	7370814.3	26.78
1945	afg	1004	7532680.8	26.82
1950	afg	1035	7752118	26.85
1955	afg	1125	8270024	29.27
1960	afg	1206	8994793	31.94
1965	afg	1182	9935358	34.6
1970	afg	1174	11121097	37.2
1975	afg	1201	12582954	39.61
1980	afg	1158	13211412	41.96
1985	afg	1384	11630498	45.21
1990	afg	1028	12067570	49.5
1995	afg	872	16772522	49.4
2000	afg	962	19701940	50.1
2005	afg	1146	24399948	52
2010	afg	1637	27962207	53.6
2015	afg	1925	32526562	53.8
1800	alb	667	410445	35.4
1805	alb	668	416928	35.4
1810	alb	668	423514	35.4
1815	alb	669	430204	35.4
1820	alb	669	437000	35.4
1825	alb	677	446920	35.4
1830	alb	685	457065	35.4
1835	alb	693	467440	35.4
1840	alb	701	478051	35.4
1845	alb	709	488902	35.4
1850	alb	717	500000	35.4
1855	alb	725	523970	35.4
1860	alb	733	549090	35.4
1865	alb	742	575414	35.4
1870	alb	750	603000	35.4
1875	alb	808	631644	35.4
1880	alb	870	661648	35.4
1885	alb	936	693077	35.4
1890	alb	1008	726000	35.4
1895	alb	1080	762102	35.4
1900	alb	1157	800000	35.4
1905	alb	1236	836182	35.4
1910	alb	1320	874000	35.4
1915	alb	1424	907586	35.4
1920	alb	1516	932000	35.4
1925	alb	1610	956000	35.4
1930	alb	1696	982000	36.29
1935	alb	1748	1009000	40.77
1940	alb	1797	1092816.9	42
1945	alb	1842	1166901.4	47.15
1950	alb	1883	1263171	54.48
1955	alb	2222	1419969	57.45
1960	alb	2724	1636054	62.87
1965	alb	3129	1896125	66.59
1970	alb	3712	2150602	67.83
1975	alb	4178	2411229	69.77
1980	alb	4218	2681245	71.39
1985	alb	4267	2966799	72.71
1990	alb	4350	3281453	73.3
1995	alb	3941	3106727	73.7
2000	alb	5305	3121965	74.7
2005	alb	7075	3082172	76.2
2010	alb	9374	2901883	77.2
2015	alb	10620	2896679	78
1800	dza	716	2503218	28.82
1805	dza	720	2548424	28.82
1810	dza	725	2594447	28.82
1815	dza	730	2641300	28.82
1820	dza	735	2689000	28.82
1825	dza	776	2781858	28.82
1830	dza	819	2877922	28.82
1835	dza	865	2977304	28.82
1840	dza	913	3080117	28.82
1845	dza	964	3186481	28.82
1850	dza	1017	3296518	15
1855	dza	1074	3410355	28.82
1860	dza	1134	3528123	28.82
1865	dza	1197	3649958	28.82
1870	dza	1264	3776000	22
1875	dza	1334	3944540	28.82
1880	dza	1409	4120603	28.82
1885	dza	1487	4304524	28.82
1890	dza	1570	4496655	28.82
1895	dza	1657	4697361	28.82
1900	dza	1750	4907026	28.86
1905	dza	1847	5126049	26.7
1910	dza	1950	5354847	30.79
1915	dza	2169	5636978	28.66
1920	dza	2358	6002716	27.5
1925	dza	2654	6392185	31.64
1930	dza	2942	6806923	31.14
1935	dza	3220	7248569	32.6
1940	dza	3486	7730796	33.72
1945	dza	3740	8291237	30.34
1950	dza	3980	8872247	42.77
1955	dza	4359	9829717	44.93
1960	dza	6470	11124892	47.5
1965	dza	5916	12626953	50.09
1970	dza	7227	14550033	52.41
1975	dza	8119	16709098	55.24
1980	dza	10166	19337723	60.92
1985	dza	11030	22565908	67.18
1990	dza	10113	25912364	70.2
1995	dza	9168	28904300	71.6
2000	dza	9885	31183658	73.3
2005	dza	12077	33267887	74.8
2010	dza	12494	36036159	76
2015	dza	13434	39666519	76.4
1990	and	28417	52773	81.7
1995	and	26143	64699	82.6
2000	and	31662	64634	83.7
2005	and	39787	77888	84.3
2010	and	38982	84864	84.7
2015	and	46577	91672	84.8
1800	ago	618	1567028	26.98
1805	ago	631	1567028	26.98
1810	ago	645	1567028	26.98
1815	ago	660	1567028	26.98
1820	ago	674	1567028	26.98
1825	ago	689	1624832	26.98
1830	ago	704	1684769	26.98
1835	ago	720	1746916	26.98
1840	ago	736	1811356	26.98
1845	ago	752	1878173	26.98
1850	ago	769	1947455	26.98
1855	ago	786	2019292	26.98
1860	ago	804	2093779	26.98
1865	ago	822	2171014	26.98
1870	ago	840	2251098	26.98
1875	ago	858	2334137	26.98
1880	ago	878	2420238	26.98
1885	ago	897	2509515	26.98
1890	ago	917	2602086	26.98
1895	ago	937	2698071	26.98
1900	ago	958	2797597	26.98
1905	ago	979	2900794	26.98
1910	ago	1001	3007798	26.98
1915	ago	1076	3118749	26.98
1920	ago	1245	3233793	26.98
1925	ago	1452	3353080	26.98
1930	ago	1693	3476768	26.98
1935	ago	1974	3605019	26.98
1940	ago	2301	3758737.3	26.98
1945	ago	2682	4061857.8	28.84
1950	ago	3125	4354882	30.7
1955	ago	3437	4808114	33.24
1960	ago	3775	5270844	35.98
1965	ago	4840	5765025	38.74
1970	ago	5397	6300969	41.5
1975	ago	5454	7107334	44.22
1980	ago	4443	8211950	46.14
1985	ago	4117	9745209	47.5
1990	ago	4232	11127870	48.6
1995	ago	2859	13042666	50.9
2000	ago	3387	15058638	52.3
2005	ago	4667	17912942	55.2
2010	ago	7047	21219954	57.6
2015	ago	7615	25021974	59.6
1800	atg	757	37000	33.54
1805	atg	757	37000	33.54
1810	atg	758	37000	33.54
1815	atg	758	37000	33.54
1820	atg	759	37000	33.54
1825	atg	785	37000	33.54
1830	atg	812	37000	33.54
1835	atg	840	37000	33.54
1840	atg	868	37000	33.54
1845	atg	898	37000	33.54
1850	atg	929	37000	33.54
1855	atg	961	37000	33.54
1860	atg	994	37000	33.54
1865	atg	1028	36187	33.54
1870	atg	1063	35195	33.54
1875	atg	1099	35000	33.54
1880	atg	1137	35000	33.54
1885	atg	1176	35787	33.54
1890	atg	1216	36795	33.54
1895	atg	1258	36187	33.54
1900	atg	1301	35195	33.54
1905	atg	1345	33768	33.54
1910	atg	1391	32288	33.54
1915	atg	1491	31184	33.54
1920	atg	1684	30194	33.54
1925	atg	1907	31659	36.85
1930	atg	2159	33863	40.98
1935	atg	2444	36220	45.12
1940	atg	2767	38742	49.26
1945	atg	3131	41439	53.62
1950	atg	3544	46301	57.97
1955	atg	4010	52611	60.41
1960	atg	4537	54681	62.97
1965	atg	5133	59653	65.23
1970	atg	5807	65369	67.19
1975	atg	6458	69253	68.99
1980	atg	8169	70301	70.59
1985	atg	11383	65744	72.13
1990	atg	17154	61906	73.5
1995	atg	17167	68349	73.5
2000	atg	19319	77648	73.8
2005	atg	21414	82565	74.9
2010	atg	20567	87233	75.8
2015	atg	21049	91818	76.4
1800	arg	1507	534000	33.2
1805	arg	1508	534000	33.2
1810	arg	1510	534000	33.2
1815	arg	1511	534000	33.2
1820	arg	1512	534000	33.2
1825	arg	1623	602351	33.2
1830	arg	1742	679451	33.2
1835	arg	1870	766420	33.2
1840	arg	2008	864521	33.2
1845	arg	2155	975178	33.2
1850	arg	2313	1100000	33.2
1855	arg	2483	1243429	33.2
1860	arg	2666	1405560	33.2
1865	arg	2861	1588832	33.2
1870	arg	3072	1796000	33.2
1875	arg	3297	2102957	33.2
1880	arg	3097	2462376	33.1
1885	arg	4852	2883224	32.6
1890	arg	5228	3376000	34
1895	arg	6927	3980398	33.3
1900	arg	6002	4693000	36.8
1905	arg	8014	5664000	39.7
1910	arg	8495	6836000	43.5
1915	arg	6716	8072000	46.2
1920	arg	7002	8861000	50.2
1925	arg	7531	10358000	52.6
1930	arg	7439	11896000	54.3
1935	arg	6810	13044000	54.3
1940	arg	6859	14169000	59.1
1945	arg	6898	15390000	62.09
1950	arg	7540	17150335	61.61
1955	arg	7631	18929350	64.03
1960	arg	7868	20619075	65.39
1965	arg	8818	22283389	65.95
1970	arg	9951	23973062	67.01
1975	arg	10571	26066975	68.6
1980	arg	10982	28105889	70.2
1985	arg	9262	30388781	71.46
1990	arg	8539	32729740	72.5
1995	arg	10673	34994818	73.5
2000	arg	11504	37057453	74.2
2005	arg	12039	39145491	75.3
2010	arg	15765	41222875	75.8
2015	arg	17344	43416755	76.5
1800	arm	514	413326	34
1805	arm	514	413326	34
1810	arm	514	413326	34
1815	arm	515	413326	34
1820	arm	515	413326	34
1825	arm	525	432620	34
1830	arm	535	452815	34
1835	arm	546	473953	34
1840	arm	556	496077	34
1845	arm	567	519234	34
1850	arm	578	543472	34
1855	arm	590	568842	34
1860	arm	601	595396	34
1865	arm	613	623189	32.95
1870	arm	625	652280	31.46
1875	arm	637	682729	32
1880	arm	649	714599	33
1885	arm	662	747957	34
1890	arm	656	782872	35
1895	arm	776	819417	36
1900	arm	886	857667	35.9
1905	arm	890	897704	37.15
1910	arm	979	939609	38.4
1915	arm	998	983470	38.8
1920	arm	531	1029379	28
1925	arm	696	1077431	41.47
1930	arm	1002	1127726	43.58
1935	arm	1273	1180369	47.5
1940	arm	1444	1235469	49.8
1945	arm	1296	1293142	39.72
1950	arm	1862	1353506	62.41
1955	arm	2141	1563508	64.54
1960	arm	2515	1867396	66.86
1965	arm	2945	2204650	69.26
1970	arm	3533	2518408	71.47
1975	arm	3810	2825650	72.33
1980	arm	3815	3096298	72.72
1985	arm	3805	3339147	71.7
1990	arm	3736	3544695	70.1
1995	arm	2169	3223173	69.1
2000	arm	2919	3076098	71.3
2005	arm	5297	3014917	71.8
2010	arm	6508	2963496	73
2015	arm	7763	3017712	74.7
1800	abw	833	19286	34.42
1805	abw	833	19286	34.42
1810	abw	834	19286	34.42
1815	abw	835	19286	34.42
1820	abw	835	19286	34.42
1825	abw	864	19797	34.42
1830	abw	893	20322	34.42
1835	abw	924	20860	34.42
1840	abw	956	21413	34.42
1845	abw	988	21980	34.42
1850	abw	1022	22562	34.42
1855	abw	1057	23160	34.42
1860	abw	1093	23774	34.42
1865	abw	1131	24404	34.42
1870	abw	1170	25051	34.42
1875	abw	1210	25714	34.42
1880	abw	1251	26396	34.42
1885	abw	1294	27095	34.42
1890	abw	1338	27813	34.42
1895	abw	1384	28550	34.42
1900	abw	1431	29306	34.42
1905	abw	1480	30083	34.42
1910	abw	1531	30880	34.42
1915	abw	1640	31698	34.42
1920	abw	1853	32538	34.42
1925	abw	2098	33400	37.73
1930	abw	2375	34285	41.87
1935	abw	2688	35194	46.01
1940	abw	3043	36126	50.14
1945	abw	3443	37083	54.28
1950	abw	3897	38066	58.42
1955	abw	4409	43727	62.69
1960	abw	4988	54208	65.66
1965	abw	5642	57360	67.44
1970	abw	6382	59065	69.14
1975	abw	9493	60655	70.83
1980	abw	14273	60096	72.29
1985	abw	20789	63028	73.18
1990	abw	37014	62148	73.47
1995	abw	38602	80326	73.62
2000	abw	43703	90858	73.78
2005	abw	40737	100031	74.32
2010	abw	33288	101597	75.06
2015	abw	37138	103889	75.72
1800	aus	815	351014	34.05
1805	aus	824	346681	34.05
1810	aus	834	342401	34.05
1815	aus	843	338175	34.05
1820	aus	853	334000	34.05
1825	aus	1015	333000	34.05
1830	aus	1399	330000	34.05
1835	aus	1890	358000	34.05
1840	aus	2269	420000	34.05
1845	aus	2396	494000	34.05
1850	aus	3267	605000	34.05
1855	aus	4141	983000	34.05
1860	aus	4795	1326000	34.05
1865	aus	4579	1558000	34.05
1870	aus	5431	1775000	34.05
1875	aus	6871	1874000	36.7
1880	aus	7120	2197000	39.34
1885	aus	7353	2650000	41.99
1890	aus	7418	3107000	44.63
1895	aus	5807	3460000	47.28
1900	aus	6688	3741000	49.93
1905	aus	7141	4004000	52.57
1910	aus	8695	4375000	55.22
1915	aus	8128	4971000	57.86
1920	aus	7867	5358000	60.51
1925	aus	9129	5943000	63.22
1930	aus	7714	6469000	64.96
1935	aus	8689	6732000	65.15
1940	aus	10057	7042000	66.26
1945	aus	11270	7389000	68.46
1950	aus	12073	8177344	69.01
1955	aus	13082	9212824	70.16
1960	aus	14346	10292328	70.87
1965	aus	16601	11368011	70.96
1970	aus	19719	12904760	70.78
1975	aus	21708	13892674	72.81
1980	aus	23872	14708323	74.56
1985	aus	25875	15791043	75.41
1990	aus	28604	17096869	77
1995	aus	30359	18124770	78.3
2000	aus	35253	19107251	79.8
2005	aus	38840	20274282	81.2
2010	aus	41330	22162863	82
2015	aus	44056	23968973	82.3
1800	aut	1848	3205587	34.4
1805	aut	1885	3245681	34.4
1810	aut	1924	3286278	34.4
1815	aut	1963	3327382	34.4
1820	aut	2003	3369000	34.4
1825	aut	2171	3452000	34.4
1830	aut	2353	3538000	34.4
1835	aut	2477	3626000	34.4
1840	aut	2608	3716000	34.4
1845	aut	2754	3831000	34.4
1850	aut	2909	3950000	34.4
1855	aut	3054	4092000	34.4
1860	aut	3206	4235000	34.4
1865	aut	3321	4380000	34.4
1870	aut	3439	4520000	34.4
1875	aut	3685	4730000	34.67
1880	aut	3928	4941000	34.95
1885	aut	4235	5166000	35.92
1890	aut	4725	5394000	37.07
1895	aut	5258	5680000	39.18
1900	aut	5704	5973000	41.53
1905	aut	6186	6292000	41.35
1910	aut	6665	6614000	44.48
1915	aut	5329	6843000	47.37
1920	aut	4804	6455000	50.21
1925	aut	6615	6582000	53.05
1930	aut	6957	6684000	55.88
1935	aut	5576	6761000	57.67
1940	aut	7518	6705000	57.8
1945	aut	3245	6799000	31.39
1950	aut	6919	6936445	64.87
1955	aut	9373	6949482	67.58
1960	aut	12027	7065525	68.75
1965	aut	14213	7298794	69.92
1970	aut	17865	7509746	70.07
1975	aut	21364	7628138	71.28
1980	aut	25259	7597269	72.64
1985	aut	27100	7600514	73.95
1990	aut	31053	7706571	75.7
1995	aut	33480	7972833	76.8
2000	aut	38548	8050884	78.2
2005	aut	40875	8234858	79.5
2010	aut	42861	8391986	80.5
2015	aut	44401	8544586	81.3
1800	aze	775	879960	29.17
1805	aze	776	879960	29.17
1810	aze	777	879960	29.17
1815	aze	778	879960	29.17
1820	aze	779	879960	29.17
1825	aze	800	921214	29.17
1830	aze	823	964402	29.17
1835	aze	846	1009614	29.17
1840	aze	870	1056946	29.17
1845	aze	894	1106498	29.17
1850	aze	919	1158372	29.17
1855	aze	945	1212678	29.17
1860	aze	971	1269530	29.17
1865	aze	998	1329047	28.12
1870	aze	1026	1391355	26.63
1875	aze	1055	1456584	27.17
1880	aze	1084	1524871	28.17
1885	aze	1115	1596359	29.17
1890	aze	1112	1671198	30.17
1895	aze	1324	1749547	31.17
1900	aze	1522	1831568	31.07
1905	aze	1539	1917435	32.32
1910	aze	1703	2007327	33.57
1915	aze	1749	2101433	33.97
1920	aze	721	2199951	30
1925	aze	1402	2303088	36.64
1930	aze	1830	2411060	38.75
1935	aze	2363	2524094	42.67
1940	aze	2727	2642428	44.97
1945	aze	2489	2766308	42.07
1950	aze	3638	2895997	57.29
1955	aze	4254	3327733	59.21
1960	aze	5081	3897889	61.33
1965	aze	6012	4579759	63.49
1970	aze	7285	5178160	65.48
1975	aze	7994	5693796	66.02
1980	aze	8228	6163990	65.55
1985	aze	8435	6674107	66.37
1990	aze	8513	7216503	65.6
1995	aze	3320	7770806	64.6
2000	aze	4459	8117742	66.5
2005	aze	8052	8563398	68.2
2010	aze	15950	9099893	70.1
2015	aze	16986	9753968	72.9
1800	bhs	1445	27350	35.18
1805	bhs	1446	27350	35.18
1810	bhs	1447	27350	35.18
1815	bhs	1448	27350	35.18
1820	bhs	1449	27350	35.18
1825	bhs	1499	27454	35.18
1830	bhs	1550	27558	35.18
1835	bhs	1603	27663	35.18
1840	bhs	1658	27768	35.18
1845	bhs	1715	27873	35.18
1850	bhs	1774	27979	35.18
1855	bhs	1835	30614	35.18
1860	bhs	1897	34228	35.18
1865	bhs	1962	36548	35.18
1870	bhs	2030	38580	35.18
1875	bhs	2099	40928	35.18
1880	bhs	2171	43472	35.18
1885	bhs	2245	45558	35.18
1890	bhs	2322	47584	35.18
1895	bhs	2402	50316	35.18
1900	bhs	2484	53368	35.18
1905	bhs	2569	54791	35.18
1910	bhs	2657	55797	35.18
1915	bhs	2911	54780	35.18
1920	bhs	3476	53293	35.18
1925	bhs	4169	55696	38.49
1930	bhs	4999	59260	42.63
1935	bhs	5994	62861	46.77
1940	bhs	7186	66631	50.9
1945	bhs	8614	71743	54.82
1950	bhs	10324	79088	58.74
1955	bhs	12373	88619	60.39
1960	bhs	14826	109526	62
1965	bhs	19156	140049	63.4
1970	bhs	21210	169356	64.61
1975	bhs	14320	188882	65.74
1980	bhs	22747	210660	66.75
1985	bhs	24154	234684	67.67
1990	bhs	24281	256338	68.5
1995	bhs	22119	280151	69.7
2000	bhs	25858	297891	70.2
2005	bhs	25397	329243	71.7
2010	bhs	22915	360830	72.7
2015	bhs	22818	388019	73.7
1800	bhr	1235	64474	30.3
1805	bhr	1262	64474	30.3
1810	bhr	1289	64474	30.3
1815	bhr	1317	64474	30.3
1820	bhr	1346	64474	30.3
1825	bhr	1375	64474	30.3
1830	bhr	1405	64474	30.3
1835	bhr	1436	64474	30.3
1840	bhr	1467	64474	30.3
1845	bhr	1499	64474	30.3
1850	bhr	1531	64474	30.3
1855	bhr	1621	64474	30.3
1860	bhr	1715	64474	30.3
1865	bhr	1815	64474	30.3
1870	bhr	1921	64474	30.3
1875	bhr	2033	66291	30.3
1880	bhr	2152	68159	30.3
1885	bhr	2278	70080	30.3
1890	bhr	2410	72055	30.3
1895	bhr	2551	74086	30.3
1900	bhr	2700	76174	30.3
1905	bhr	2708	78321	30.3
1910	bhr	2717	80528	30.3
1915	bhr	2725	83423	30.3
1920	bhr	2733	87404	30.3
1925	bhr	2808	91575	30.3
1930	bhr	2883	95945	30.3
1935	bhr	3272	100523	30.3
1940	bhr	5557	105320.2	33.92
1945	bhr	9434	110347.2	37.48
1950	bhr	16007	115614	41.04
1955	bhr	19556	133653	45.35
1960	bhr	22540	162501	51.64
1965	bhr	25662	187348	58.1
1970	bhr	31232	213102	63.1
1975	bhr	33509	266686	66.63
1980	bhr	44996	359902	69.09
1985	bhr	32131	419425	70.73
1990	bhr	35398	495944	71.8
1995	bhr	43244	563730	73
2000	bhr	45063	666855	73.7
2005	bhr	44031	867014	76.1
2010	bhr	40553	1261319	78.7
2015	bhr	44138	1377237	79.1
1800	bgd	876	19227357	25.5
1805	bgd	876	19417674	25.5
1810	bgd	875	19609874	25.5
1815	bgd	875	19803976	25.5
1820	bgd	874	20000000	25.5
1825	bgd	875	20428365	25.5
1830	bgd	876	20865904	25.5
1835	bgd	876	21312815	25.5
1840	bgd	877	21769297	25.5
1845	bgd	878	22235557	25.5
1850	bgd	878	22711803	25.5
1855	bgd	879	23198250	25.5
1860	bgd	880	23695115	25.5
1865	bgd	880	24202623	24
1870	bgd	881	24721000	25.5
1875	bgd	892	25454244	25.5
1880	bgd	903	26209237	24.58
1885	bgd	939	26986623	23.43
1890	bgd	968	27787067	22.72
1895	bgd	957	28611253	22
1900	bgd	995	29459885	21.77
1905	bgd	1068	30333688	21.55
1910	bgd	1158	31233408	22.18
1915	bgd	1149	32104713	23.03
1920	bgd	1057	32915547	23.88
1925	bgd	1171	33746859	24.73
1930	bgd	1225	34724603	27.89
1935	bgd	1156	36251656	31.63
1940	bgd	1174	37845864.2	35.37
1945	bgd	1143	37950185.2	36.87
1950	bgd	1027	37894680	42.46
1955	bgd	972	42122171	43.91
1960	bgd	1048	48200702	46.2
1965	bgd	1177	55835020	48.6
1970	bgd	1226	65048701	46.31
1975	bgd	1035	71247153	47.58
1980	bgd	1079	81364176	53.18
1985	bgd	1142	93015182	55.47
1990	bgd	1274	105983136	57.9
1995	bgd	1424	118427768	61.6
2000	bgd	1632	131280739	64.9
2005	bgd	1934	142929979	67.1
2010	bgd	2459	151616777	68.8
2015	bgd	3161	160995642	70.4
1800	brb	913	81729	32.12
1805	brb	914	81729	32.12
1810	brb	915	81729	32.12
1815	brb	916	81729	32.12
1820	brb	916	81729	32.12
1825	brb	948	88725	32.12
1830	brb	980	96321	32.12
1835	brb	1014	104566	32.12
1840	brb	1048	113517	32.12
1845	brb	1084	123235	32.12
1850	brb	1121	133784	32.12
1855	brb	1160	142561	32.12
1860	brb	1199	151208	32.12
1865	brb	1241	156538	32.12
1870	brb	1283	161077	32.12
1875	brb	1327	165928	32.12
1880	brb	1372	170973	32.12
1885	brb	1419	176318	32.12
1890	brb	1468	181869	32.12
1895	brb	1518	188093	32.12
1900	brb	1570	194659	32.12
1905	brb	1624	186022	32.12
1910	brb	1680	174261	32.12
1915	brb	1766	165835	32.12
1920	brb	1903	158439	32.12
1925	brb	2053	162407	35.43
1930	brb	2215	169428	39.57
1935	brb	2389	176752	43.71
1940	brb	2577	184393	47.85
1945	brb	2779	192365	52.18
1950	brb	2996	210995	56.5
1955	brb	3842	227076	59.13
1960	brb	4925	230934	61.8
1965	brb	6309	235373	64.2
1970	brb	9013	238847	66.31
1975	brb	10203	246033	68.17
1980	brb	12885	252197	69.91
1985	brb	12115	255929	71.54
1990	brb	12992	260374	73
1995	brb	12587	264962	73.3
2000	brb	14677	269838	74
2005	brb	15128	274013	75
2010	brb	15297	279566	75.2
2015	brb	12984	284215	75.7
1800	blr	608	2355081	36.2
1805	blr	609	2355081	36.2
1810	blr	611	2355081	36.2
1815	blr	613	2355081	36.2
1820	blr	614	2355081	36.2
1825	blr	633	2465421	36.2
1830	blr	651	2580930	36.2
1835	blr	670	2701852	36.2
1840	blr	690	2828438	36.2
1845	blr	710	2960956	36.2
1850	blr	731	3099682	36.2
1855	blr	753	3244908	36.2
1860	blr	775	3396938	36.2
1865	blr	798	3556091	36.2
1870	blr	822	3722700	36.2
1875	blr	846	3897115	36.2
1880	blr	871	4079703	36.2
1885	blr	896	4270844	36.2
1890	blr	895	4470941	36.2
1895	blr	1068	4680413	36.2
1900	blr	1229	4899699	36.2
1905	blr	1245	5129259	39.26
1910	blr	1380	5369574	42.31
1915	blr	1418	5621148	37.37
1920	blr	585	5884509	30.42
1925	blr	1129	6160210	45.12
1930	blr	1462	6448827	47.07
1935	blr	1874	6750966	51.97
1940	blr	2146	7067261	52.27
1945	blr	1943	7398376	29.94
1950	blr	2819	7745003	64.89
1955	blr	3271	7803537	66.77
1960	blr	3878	8190027	71.59
1965	blr	4547	8607031	72.7
1970	blr	5461	9039436	71.94
1975	blr	6132	9365830	71.63
1980	blr	6776	9654455	70.57
1985	blr	7459	9990966	70.28
1990	blr	8084	10231983	70.5
1995	blr	5275	10159731	68.2
2000	blr	7300	9952055	68.1
2005	blr	10851	9640616	68.7
2010	blr	15703	9492122	70.2
2015	blr	17415	9495826	71
1800	bel	2412	3138137	40
1805	bel	2414	3209623	40.04
1810	bel	2416	3282737	40.08
1815	bel	2418	3357517	40.12
1820	bel	2420	3434000	40.16
1825	bel	2454	3589000	40.2
1830	bel	2488	3750000	40.24
1835	bel	2670	3912000	40.28
1840	bel	2866	4080000	40.32
1845	bel	3076	4259000	41.03
1850	bel	3406	4449000	42.28
1855	bel	3824	4592000	37.49
1860	bel	4240	4740000	45.12
1865	bel	4533	4915000	37.74
1870	bel	4990	5096000	40.92
1875	bel	5310	5303000	42.17
1880	bel	5697	5541000	42.48
1885	bel	5838	5876000	45.48
1890	bel	6387	6096000	44.14
1895	bel	6549	6439000	45.46
1900	bel	6967	6719000	46.59
1905	bel	7258	7175000	50.01
1910	bel	7606	7498000	51.37
1915	bel	4652	7759000	40
1920	bel	7395	7552000	53.66
1925	bel	8956	7779000	57.16
1930	bel	9737	8076000	57.17
1935	bel	8743	8288000	60.01
1940	bel	7097	8346000	55.96
1945	bel	5328	8339000	58.38
1950	bel	10309	8628489	66.32
1955	bel	11728	8870792	68.54
1960	bel	12608	9140563	69.59
1965	bel	15360	9440279	70.51
1970	bel	18903	9664320	70.89
1975	bel	22196	9769006	71.9
1980	bel	25847	9855747	73.18
1985	bel	26792	9893499	74.41
1990	bel	30798	9978241	76
1995	bel	32774	10161914	76.9
2000	bel	37404	10268380	77.8
2005	bel	39881	10561436	79.1
2010	bel	40764	10929978	80.1
2015	bel	41240	11299192	80.5
1800	blz	579	25526	26.5
1805	blz	579	25526	26.5
1810	blz	580	25526	26.5
1815	blz	580	25526	26.5
1820	blz	580	25526	26.5
1825	blz	600	25583	26.5
1830	blz	621	25641	26.5
1835	blz	642	25698	26.5
1840	blz	664	25756	26.5
1845	blz	687	25814	26.5
1850	blz	710	25872	26.5
1855	blz	735	25930	26.5
1860	blz	760	25988	26.5
1865	blz	786	25595	26.5
1870	blz	813	25098	26.5
1875	blz	841	25782	26.5
1880	blz	869	26793	26.5
1885	blz	899	28534	26.5
1890	blz	930	30575	26.5
1895	blz	962	33273	26.5
1900	blz	995	36351	26.5
1905	blz	1029	38172	26.5
1910	blz	1064	39689	26.5
1915	blz	1119	41930	29.31
1920	blz	1205	44473	32.13
1925	blz	1297	47310	34.94
1930	blz	1395	50366	37.75
1935	blz	1500	53021	40.93
1940	blz	1613	55659	45.55
1945	blz	1734	58430	50.21
1950	blz	1865	68918	54.86
1955	blz	1934	79872	57.37
1960	blz	2006	92068	60.08
1965	blz	2153	106121	62.95
1970	blz	2509	122179	65.72
1975	blz	3315	133261	67.93
1980	blz	4148	144151	69.78
1985	blz	3705	164916	71.34
1990	blz	5166	187552	71.4
1995	blz	6209	206962	70.5
2000	blz	7215	247312	69
2005	blz	8202	283279	70
2010	blz	8209	321609	71.2
2015	blz	8501	359287	71.7
1800	ben	597	636559	31
1805	ben	597	636559	31
1810	ben	598	636559	31
1815	ben	598	636559	31
1820	ben	598	636559	31
1825	ben	613	668294	31
1830	ben	628	701611	31
1835	ben	643	736589	31
1840	ben	659	773311	31
1845	ben	675	811863	31
1850	ben	692	852338	31
1855	ben	709	894830	31
1860	ben	726	939441	31
1865	ben	744	986276	31
1870	ben	762	1035446	31
1875	ben	780	1087067	31
1880	ben	799	1141261	31
1885	ben	819	1198158	31
1890	ben	839	1257891	31
1895	ben	859	1320601	31
1900	ben	880	1386438	31
1905	ben	902	1455558	31
1910	ben	924	1528123	31
1915	ben	951	1604306	31
1920	ben	985	1684287	31
1925	ben	1025	1768255	31
1930	ben	1066	1856410	31
1935	ben	1109	1948959	31
1940	ben	1154	2046121.9	31
1945	ben	1200	2148128.4	31.54
1950	ben	1248	2255221	33.22
1955	ben	1136	2303585	35.72
1960	ben	1137	2431620	38.29
1965	ben	1191	2632360	40.93
1970	ben	1205	2907769	43.93
1975	ben	1141	3262959	46.93
1980	ben	1338	3718024	49.34
1985	ben	1510	4287263	52.33
1990	ben	1362	5001271	56.1
1995	ben	1398	5985658	56.7
2000	ben	1525	6949366	57.2
2005	ben	1584	8182362	58.6
2010	ben	1637	9509798	60.8
2015	ben	1830	10879829	62.3
1990	bmu	40553	59795	71.1
1995	bmu	41999	61405	72.5
2000	bmu	51140	62834	74.1
2005	bmu	56017	64130	76.4
2010	bmu	56395	64941	77.6
2015	bmu	47081	65576	78.5
1800	btn	629	89989	28.8
1805	btn	630	89989	28.8
1810	btn	630	89989	28.8
1815	btn	631	89989	28.8
1820	btn	631	89989	28.8
1825	btn	638	92184	28.8
1830	btn	644	94432	28.8
1835	btn	650	96735	28.8
1840	btn	657	99095	28.8
1845	btn	663	101512	28.8
1850	btn	670	103987	28.8
