DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed
11X265,BRONX LAB SCHOOL,,,
11X299,ASTOR COLLEGIATE ACADEMY,,,
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,,,
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,,,
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,,,
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,,,
12X245,NEW DAY ACADEMY,,,
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,,,
12X278,PEACE AND DIVERSITY ACADEMY,,,
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,,,
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,,,
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,,,
12X480,BRONX REGIONAL HIGH SCHOOL,,,
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,,,
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,,,
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,,,
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,,,
13K509,FREEDOM ACADEMY HIGH SCHOOL,,,
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,,
13K553,BROOKLYN ACADEMY HIGH SCHOOL,,,
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,,,
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,,,
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",,,
14K322,FOUNDATIONS ACADEMY,,,
14K449,"BROOKLYN LATIN SCHOOL, THE",,,
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,,,
14K586,LYONS COMMUNITY SCHOOL,,,
14K610,AUTOMOTIVE HIGH SCHOOL,,,
14K632,FRANCES PERKINS ACADEMY,,,
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,,,
14K923,AUTOMOTIVE HIGH SCHOOL YABC,,,
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,,,
15K464,PARK SLOPE COLLEGIATE,,,
15K520,PACIFIC HIGH SCHOOL,,,
